* RegName			Page			Addr			Defval			Value
*--------------------------------------------------------------------------------
*  Periphery register map
*--------------------------------------------------------------------------------
AC_ReadCounterLSB_S12			0x0			0x50b			0x0			0x0
AC_ReadCounterLSB_S13			0x0			0x50c			0x0			0x0
AC_ReadCounterLSB_S14			0x0			0x50d			0x0			0x0
AC_ReadCounterLSB_S15			0x0			0x50e			0x0			0x0
AC_ReadCounterLSB_S16			0x0			0x50f			0x0			0x0
AC_ReadCounterLSB_S17			0x0			0x510			0x0			0x0
AC_ReadCounterLSB_S18			0x0			0x511			0x0			0x0
AC_ReadCounterLSB_S19			0x0			0x512			0x0			0x0
AC_ReadCounterLSB_S20			0x0			0x513			0x0			0x0
AC_ReadCounterLSB_S21			0x0			0x514			0x0			0x0
AC_ReadCounterLSB_S22			0x0			0x515			0x0			0x0
AC_ReadCounterLSB_S23			0x0			0x516			0x0			0x0
AC_ReadCounterLSB_S24			0x0			0x517			0x0			0x0
AC_ReadCounterLSB_S25			0x0			0x518			0x0			0x0
AC_ReadCounterLSB_S26			0x0			0x519			0x0			0x0
AC_ReadCounterLSB_S27			0x0			0x51a			0x0			0x0
AC_ReadCounterLSB_S28			0x0			0x51b			0x0			0x0
AC_ReadCounterLSB_S29			0x0			0x51c			0x0			0x0
AC_ReadCounterLSB_S30			0x0			0x51d			0x0			0x0
AC_ReadCounterLSB_S31			0x0			0x51e			0x0			0x0
AC_ReadCounterLSB_S32			0x0			0x51f			0x0			0x0
AC_ReadCounterLSB_S33			0x0			0x520			0x0			0x0
AC_ReadCounterLSB_S34			0x0			0x521			0x0			0x0
AC_ReadCounterLSB_S35			0x0			0x522			0x0			0x0
AC_ReadCounterLSB_S36			0x0			0x523			0x0			0x0
AC_ReadCounterLSB_S37			0x0			0x524			0x0			0x0
AC_ReadCounterLSB_S38			0x0			0x525			0x0			0x0
AC_ReadCounterLSB_S39			0x0			0x526			0x0			0x0
AC_ReadCounterLSB_S40			0x0			0x527			0x0			0x0
AC_ReadCounterLSB_S41			0x0			0x528			0x0			0x0
AC_ReadCounterLSB_S42			0x0			0x529			0x0			0x0
AC_ReadCounterLSB_S43			0x0			0x52a			0x0			0x0
AC_ReadCounterLSB_S44			0x0			0x52b			0x0			0x0
AC_ReadCounterLSB_S45			0x0			0x52c			0x0			0x0
AC_ReadCounterLSB_S46			0x0			0x52d			0x0			0x0
AC_ReadCounterLSB_S47			0x0			0x52e			0x0			0x0
AC_ReadCounterLSB_S48			0x0			0x52f			0x0			0x0
AC_ReadCounterLSB_S49			0x0			0x530			0x0			0x0
AC_ReadCounterLSB_S50			0x0			0x531			0x0			0x0
AC_ReadCounterLSB_S51			0x0			0x532			0x0			0x0
AC_ReadCounterLSB_S52			0x0			0x533			0x0			0x0
AC_ReadCounterLSB_S53			0x0			0x534			0x0			0x0
AC_ReadCounterLSB_S54			0x0			0x535			0x0			0x0
AC_ReadCounterLSB_S55			0x0			0x536			0x0			0x0
AC_ReadCounterLSB_S56			0x0			0x537			0x0			0x0
AC_ReadCounterLSB_S57			0x0			0x538			0x0			0x0
AC_ReadCounterLSB_S58			0x0			0x539			0x0			0x0
AC_ReadCounterLSB_S59			0x0			0x53a			0x0			0x0
AC_ReadCounterLSB_S60			0x0			0x53b			0x0			0x0
AC_ReadCounterLSB_S61			0x0			0x53c			0x0			0x0
AC_ReadCounterLSB_S62			0x0			0x53d			0x0			0x0
AC_ReadCounterLSB_S63			0x0			0x53e			0x0			0x0
AC_ReadCounterLSB_S64			0x0			0x53f			0x0			0x0
AC_ReadCounterLSB_S65			0x0			0x540			0x0			0x0
AC_ReadCounterLSB_S66			0x0			0x541			0x0			0x0
AC_ReadCounterLSB_S67			0x0			0x542			0x0			0x0
AC_ReadCounterLSB_S68			0x0			0x543			0x0			0x0
AC_ReadCounterLSB_S69			0x0			0x544			0x0			0x0
AC_ReadCounterLSB_S70			0x0			0x545			0x0			0x0
AC_ReadCounterLSB_S71			0x0			0x546			0x0			0x0
AC_ReadCounterLSB_S72			0x0			0x547			0x0			0x0
AC_ReadCounterLSB_S73			0x0			0x548			0x0			0x0
AC_ReadCounterLSB_S74			0x0			0x549			0x0			0x0
AC_ReadCounterLSB_S75			0x0			0x54a			0x0			0x0
AC_ReadCounterLSB_S76			0x0			0x54b			0x0			0x0
AC_ReadCounterLSB_S77			0x0			0x54c			0x0			0x0
AC_ReadCounterLSB_S78			0x0			0x54d			0x0			0x0
AC_ReadCounterLSB_S79			0x0			0x54e			0x0			0x0
AC_ReadCounterLSB_S80			0x0			0x54f			0x0			0x0
AC_ReadCounterLSB_S81			0x0			0x550			0x0			0x0
AC_ReadCounterLSB_S82			0x0			0x551			0x0			0x0
AC_ReadCounterLSB_S83			0x0			0x552			0x0			0x0
AC_ReadCounterLSB_S84			0x0			0x553			0x0			0x0
AC_ReadCounterLSB_S85			0x0			0x554			0x0			0x0
AC_ReadCounterLSB_S86			0x0			0x555			0x0			0x0
AC_ReadCounterLSB_S87			0x0			0x556			0x0			0x0
AC_ReadCounterLSB_S88			0x0			0x557			0x0			0x0
AC_ReadCounterLSB_S89			0x0			0x558			0x0			0x0
AC_ReadCounterLSB_S90			0x0			0x559			0x0			0x0
AC_ReadCounterLSB_S91			0x0			0x55a			0x0			0x0
AC_ReadCounterLSB_S92			0x0			0x55b			0x0			0x0
AC_ReadCounterLSB_S93			0x0			0x55c			0x0			0x0
AC_ReadCounterLSB_S94			0x0			0x55d			0x0			0x0
AC_ReadCounterLSB_S95			0x0			0x55e			0x0			0x0
AC_ReadCounterLSB_S96			0x0			0x55f			0x0			0x0
AC_ReadCounterLSB_S97			0x0			0x560			0x0			0x0
AC_ReadCounterLSB_S98			0x0			0x561			0x0			0x0
AC_ReadCounterLSB_S99			0x0			0x562			0x0			0x0
AC_ReadCounterLSB_S100			0x0			0x563			0x0			0x0
AC_ReadCounterLSB_S101			0x0			0x564			0x0			0x0
AC_ReadCounterLSB_S102			0x0			0x565			0x0			0x0
AC_ReadCounterLSB_S103			0x0			0x566			0x0			0x0
AC_ReadCounterLSB_S104			0x0			0x567			0x0			0x0
AC_ReadCounterLSB_S105			0x0			0x568			0x0			0x0
AC_ReadCounterLSB_S106			0x0			0x569			0x0			0x0
AC_ReadCounterLSB_S107			0x0			0x56a			0x0			0x0
AC_ReadCounterLSB_S108			0x0			0x56b			0x0			0x0
AC_ReadCounterLSB_S109			0x0			0x56c			0x0			0x0
AC_ReadCounterLSB_S110			0x0			0x56d			0x0			0x0
AC_ReadCounterLSB_S111			0x0			0x56e			0x0			0x0
AC_ReadCounterLSB_S112			0x0			0x56f			0x0			0x0
AC_ReadCounterLSB_S113			0x0			0x570			0x0			0x0
AC_ReadCounterLSB_S114			0x0			0x571			0x0			0x0
AC_ReadCounterLSB_S115			0x0			0x572			0x0			0x0
AC_ReadCounterLSB_S116			0x0			0x573			0x0			0x0
AC_ReadCounterLSB_S117			0x0			0x574			0x0			0x0
AC_ReadCounterLSB_S118			0x0			0x575			0x0			0x0
AC_ReadCounterLSB_S119			0x0			0x576			0x0			0x0
AC_ReadCounterLSB_S120			0x0			0x577			0x0			0x0
THTRIMMING_S1			0x0			0x200			0xf			0xf
THTRIMMING_S2			0x0			0x201			0xf			0xf
THTRIMMING_S3			0x0			0x202			0xf			0xf
THTRIMMING_S4			0x0			0x203			0xf			0xf
THTRIMMING_S5			0x0			0x204			0xf			0xf
THTRIMMING_S6			0x0			0x205			0xf			0xf
THTRIMMING_S7			0x0			0x206			0xf			0xf
THTRIMMING_S8			0x0			0x207			0xf			0xf
THTRIMMING_S9			0x0			0x208			0xf			0xf
THTRIMMING_S10			0x0			0x209			0xf			0xf
THTRIMMING_S11			0x0			0x20a			0xf			0xf
THTRIMMING_S12			0x0			0x20b			0xf			0xf
THTRIMMING_S13			0x0			0x20c			0xf			0xf
THTRIMMING_S14			0x0			0x20d			0xf			0xf
THTRIMMING_S15			0x0			0x20e			0xf			0xf
THTRIMMING_S16			0x0			0x20f			0xf			0xf
THTRIMMING_S17			0x0			0x210			0xf			0xf
THTRIMMING_S18			0x0			0x211			0xf			0xf
THTRIMMING_S19			0x0			0x212			0xf			0xf
THTRIMMING_S20			0x0			0x213			0xf			0xf
THTRIMMING_S21			0x0			0x214			0xf			0xf
THTRIMMING_S22			0x0			0x215			0xf			0xf
THTRIMMING_S23			0x0			0x216			0xf			0xf
THTRIMMING_S24			0x0			0x217			0xf			0xf
THTRIMMING_S25			0x0			0x218			0xf			0xf
THTRIMMING_S26			0x0			0x219			0xf			0xf
THTRIMMING_S27			0x0			0x21a			0xf			0xf
THTRIMMING_S28			0x0			0x21b			0xf			0xf
THTRIMMING_S29			0x0			0x21c			0xf			0xf
THTRIMMING_S30			0x0			0x21d			0xf			0xf
THTRIMMING_S31			0x0			0x21e			0xf			0xf
THTRIMMING_S32			0x0			0x21f			0xf			0xf
THTRIMMING_S33			0x0			0x220			0xf			0xf
THTRIMMING_S34			0x0			0x221			0xf			0xf
THTRIMMING_S35			0x0			0x222			0xf			0xf
THTRIMMING_S36			0x0			0x223			0xf			0xf
THTRIMMING_S37			0x0			0x224			0xf			0xf
THTRIMMING_S38			0x0			0x225			0xf			0xf
THTRIMMING_S39			0x0			0x226			0xf			0xf
THTRIMMING_S40			0x0			0x227			0xf			0xf
THTRIMMING_S41			0x0			0x228			0xf			0xf
THTRIMMING_S42			0x0			0x229			0xf			0xf
THTRIMMING_S43			0x0			0x22a			0xf			0xf
THTRIMMING_S44			0x0			0x22b			0xf			0xf
THTRIMMING_S45			0x0			0x22c			0xf			0xf
THTRIMMING_S46			0x0			0x22d			0xf			0xf
THTRIMMING_S47			0x0			0x22e			0xf			0xf
THTRIMMING_S48			0x0			0x22f			0xf			0xf
THTRIMMING_S49			0x0			0x230			0xf			0xf
THTRIMMING_S50			0x0			0x231			0xf			0xf
THTRIMMING_S51			0x0			0x232			0xf			0xf
THTRIMMING_S52			0x0			0x233			0xf			0xf
THTRIMMING_S53			0x0			0x234			0xf			0xf
THTRIMMING_S54			0x0			0x235			0xf			0xf
THTRIMMING_S55			0x0			0x236			0xf			0xf
THTRIMMING_S56			0x0			0x237			0xf			0xf
THTRIMMING_S57			0x0			0x238			0xf			0xf
THTRIMMING_S58			0x0			0x239			0xf			0xf
THTRIMMING_S59			0x0			0x23a			0xf			0xf
THTRIMMING_S60			0x0			0x23b			0xf			0xf
THTRIMMING_S61			0x0			0x23c			0xf			0xf
THTRIMMING_S62			0x0			0x23d			0xf			0xf
THTRIMMING_S63			0x0			0x23e			0xf			0xf
THTRIMMING_S64			0x0			0x23f			0xf			0xf
THTRIMMING_S65			0x0			0x240			0xf			0xf
THTRIMMING_S66			0x0			0x241			0xf			0xf
THTRIMMING_S67			0x0			0x242			0xf			0xf
THTRIMMING_S68			0x0			0x243			0xf			0xf
THTRIMMING_S69			0x0			0x244			0xf			0xf
THTRIMMING_S70			0x0			0x245			0xf			0xf
THTRIMMING_S71			0x0			0x246			0xf			0xf
THTRIMMING_S72			0x0			0x247			0xf			0xf
THTRIMMING_S73			0x0			0x248			0xf			0xf
THTRIMMING_S74			0x0			0x249			0xf			0xf
THTRIMMING_S75			0x0			0x24a			0xf			0xf
THTRIMMING_S76			0x0			0x24b			0xf			0xf
THTRIMMING_S77			0x0			0x24c			0xf			0xf
THTRIMMING_S78			0x0			0x24d			0xf			0xf
THTRIMMING_S79			0x0			0x24e			0xf			0xf
THTRIMMING_S80			0x0			0x24f			0xf			0xf
THTRIMMING_S81			0x0			0x250			0xf			0xf
THTRIMMING_S82			0x0			0x251			0xf			0xf
THTRIMMING_S83			0x0			0x252			0xf			0xf
THTRIMMING_S84			0x0			0x253			0xf			0xf
THTRIMMING_S85			0x0			0x254			0xf			0xf
THTRIMMING_S86			0x0			0x255			0xf			0xf
THTRIMMING_S87			0x0			0x256			0xf			0xf
THTRIMMING_S88			0x0			0x257			0xf			0xf
THTRIMMING_S89			0x0			0x258			0xf			0xf
THTRIMMING_S90			0x0			0x259			0xf			0xf
THTRIMMING_S91			0x0			0x25a			0xf			0xf
THTRIMMING_S92			0x0			0x25b			0xf			0xf
THTRIMMING_S93			0x0			0x25c			0xf			0xf
THTRIMMING_S94			0x0			0x25d			0xf			0xf
THTRIMMING_S95			0x0			0x25e			0xf			0xf
THTRIMMING_S96			0x0			0x25f			0xf			0xf
THTRIMMING_S97			0x0			0x260			0xf			0xf
THTRIMMING_S98			0x0			0x261			0xf			0xf
THTRIMMING_S99			0x0			0x262			0xf			0xf
THTRIMMING_S100			0x0			0x263			0xf			0xf
THTRIMMING_S101			0x0			0x264			0xf			0xf
THTRIMMING_S102			0x0			0x265			0xf			0xf
THTRIMMING_S103			0x0			0x266			0xf			0xf
THTRIMMING_S104			0x0			0x267			0xf			0xf
THTRIMMING_S105			0x0			0x268			0xf			0xf
THTRIMMING_S106			0x0			0x269			0xf			0xf
THTRIMMING_S107			0x0			0x26a			0xf			0xf
THTRIMMING_S108			0x0			0x26b			0xf			0xf
THTRIMMING_S109			0x0			0x26c			0xf			0xf
THTRIMMING_S110			0x0			0x26d			0xf			0xf
THTRIMMING_S111			0x0			0x26e			0xf			0xf
THTRIMMING_S112			0x0			0x26f			0xf			0xf
THTRIMMING_S113			0x0			0x270			0xf			0xf
